text,spam__no,spam__yes,phishing__no,phishing__yes,intent__legitimate_personal,intent__legitimate_marketing,intent__credential_theft,intent__payment_fraud,intent__malware_lure,intent__other_scam,impersonates__no,impersonates__yes,urgency__0,urgency__1,urgency__2,urgency__3
"dental coverage for $ 6 . 95 per month dental plans for $ 6 . 95 per month dental plans for you and your entire family a variety of plan choices nationwidedental plans for individuals and employer groups you can choose from traditional dental insurance that lets you see any dentist you wish , or if you do not have your own private dentist , choose one of our plans that offer dental coverage from pre - screened dental offices and save hundreds of dollars on your dental treatment . dental plans with no deductibles . dental plans that cover orthodonticsshould you need to see a dentist right away . . . to compare plans benefits and rates , click hereto be removed from this emailing list , please reply to this message by clicking on remove first american dental planswww . firstdentalplans . com to contact us : phone : 800 - 711 - 8817 fax : 800 - 752 - 4040 email : sales @ firstdentalplans . com 1525 mesa verde east , suite 107 costa mesa , ca 92626",0.020000000000000018,0.98,0.78,0.22,0.01,0.68,0.05,0.06,0.02,0.18,0.9,0.1,0.75,0.22,0.03,0.0
broker client procedure attached is a draft of the broker electronic transaction agreement which will be used to allow brokers to transact on behalf of their customers . please review the document and give me any comments . please pay particuliar attention to section 3 transactions . also please note that it will be imperative that broker confirmations are done each day on broker client transactions to limit the exposure associated with online transaction broker breakage costs . the confirmations group will be responsible for confirming each day and notifying credit immediately of any discrepancies between enron and the broker . notification by the confirmations group will be the only means by which credit will be informed to shut down broker activity in the case of a transaction that has not been confirmed and / or verified by the broker . thank you,0.98,0.02,0.98,0.02,0.95,0.02,0.01,0.01,0.01,0.0,0.98,0.02,0.7,0.25,0.05,0.0
"Hear hear, Gary.  I'm living with a guy right now who I met at a party, 
emailed with for 2 weeks, then powie!  We were both looking at similar 
goals in life in general, had some attraction for each other, and decided 
to wing it.  I can't say what's going to happen tomorrow, but right now, 
and for the past few months, we've been happy.  Onward Ho!  (:
CindyOn 18 Sep 2002, Gary Lawrence Murphy wrote:> >>>>> ""E"" == Eirikur Hallgrimsson  writes:
> 
>     E> You just can't tell important things from a picture and a few
>     E> words.  It's not how we are built.  There's no geek code for
>     E> the heart and soul.
> 
> Nor is there a Turing Test, even for someone with whom you've spent 11
> years, boom, bust and boom again, and 3 children (trust me) There is
> no magic litmus test other than the totally empirical: ""Try it and
> see""
> 
> ""String bags full of oranges
>  And matters of the heart,
>  People laugh at /anything/
>  And things just fall apart.""
>  - michael leunig
> 
> The only real test, the only /sensible/ test, is to look back and
> realize your relationship has lasted 50 years and see no reason to
> believe it couldn't last another 50.  In the absense of 50 years of
> actual (ahem) hands-on experiential data, a photo and a few words are
> as good as any, provided you are prepared for the dynamics of it.
> 
> Love is a verb.  Sex is a /shared/ pursuit.  There is no
> 'relation-ship', there is only the crew.  sail away!
> 
> -- 
""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn",0.98,0.02,0.99,0.01,0.97,0.01,0.005,0.005,0.005,0.005,0.99,0.01,0.97,0.02,0.005,0.005
">>>>> ""R"" == Robert Harley  writes:    R> Another one fizzles out...You sound disappointed.  Don't worry, there will be lots more.-- 
Gary Lawrence Murphy  TeleDynamics Communications Inc
Business Innovations Through Open Source Systems: http://www.teledyn.com
""Computers are useless.  They can only give you answers.""(Pablo Picasso)http://xent.com/mailman/listinfo/fork",0.98,0.02,0.99,0.01,0.96,0.02,0.005,0.005,0.005,0.005,0.99,0.01,0.97,0.02,0.005,0.005
"ena energy ops - showstopper status attached is a file summarizing the action plan for completing energy op ' s showstopper reports . i have made a stab at initial assignments of responsibilities and due dates . please review and let me know if i have missed anything . thanks in advance for your help . in addition to the action items listed for each report , we will be soliciting london ' s input / comments via conference call tomorrow . let me know if you have any questions . susan",0.98,0.02,0.98,0.02,0.95,0.01,0.005,0.005,0.025,0.005,0.98,0.02,0.55,0.42,0.03,0.0
"TeenLegal Teen XXX Hardcore4 FREE
 
Boy was Gauge surprised when Joey's friend conveniently showed up as things were getting hot.  She always dreamed of sucking two cocks while she played with herself during study hall, but fantasy is different than reality.  I wonder if she ever gave a thought to where those dicks would end up after they were done with her mouth?Find out for 100% FREE at Legal Teen Girls!!!  We just added Gauge's three way, you have to see it!!!  We have tons of other sweet young teens getting it in ways they never imagined possible, for FREE!!!!
 
CLICK HERE FOR YOUR 100% FREE LIFETIME MEMBERSHIP!
 
Disclaimer:We are strongly against sending unsolicited emails to those who do not wish to receive our special mailings. You have opted in to one or more of our affiliate sites requesting to be notified of any special offers we may run from time to time. We also have attained the services of an independent 3rd party to overlook list management and removal services.  This is NOT unsolicited email. If you do not wish to receive further mailings, please click here to be removed from the list. Please accept our apologies if you have been sent this email in error. We honor all removal requests.",0.0050000000000000044,0.995,0.6,0.4,0.01,0.4,0.2,0.05,0.1,0.24,0.95,0.05,0.75,0.2,0.04,0.01
"bigger , fuller breasts naturally in just weeks ! uqouq for women ages 13 to 60 plus . . . . as seen on tv . . . . safely make your breasts bigger and fuller in the privacy of your own home . guaranteed quick results click here for full report mcskjfirglkckubuvfiwwp - - - - this sf . net email is sponsored by : jabber - the world ' s fastest growing real - time communications platform ! don ' t just im . build it in ! http : / / www . jabber . com / osdn / xim spamassassin - sightings mailing list",0.020000000000000018,0.98,0.5,0.5,0.01,0.1,0.05,0.15,0.14,0.55,0.9,0.1,0.7,0.25,0.04,0.01
"re : ubs notes at ferc mtg looks good . i need to find a different version of code of conduct that more closely mimics epmi and pge version . the agreement in appendix b right now may be too restrictive for our current dealings . agree that we need to finish up details of ( a ) data transfer and ( b ) transistional services agreement . in my discussions on friday , the transitional services will be "" agent "" type activities . enron needs help in making sure that it can service its contracts . no ubs warburg energy employee will make commercial decisions for enron - simply perform directed activities . the question of data transferred is still outstanding , but i will hopefully know more on monday am . i am checking on exactly how much counterparty info will be held by ubs warburg energy . i plan on being in your office first thing tues am . thanks , jim - - - - - original message - - - - - from : "" fels , nicholas "" @ enron [ mailto : "" fels , nicholas "" @ enron ] sent : sat 2 / 2 / 2002 5 : 27 pm to : steffes , james d . cc : subject : re : ubs notes at ferc mtg here is what i had come up with . my thought is that the bold roman numeral headings would make up an agenda , which we should send to cindy marlette on monday , along with a list of those who will attend for ubs . the subheadings , which would not appear on the what we send to ferc , would be the main items for discussion . i don ' t think your approach and mine are very far apart . i might be somewhat less affirmative about raising the section 203 issue . it will surely come up as we describe what will or will not be transferred . i also think it would be very helpful to clear up the points about the approach to existing enron customers , and the transitional arrangements before the meeting i would like , in any event , to put something into the mbr application on transition arrangements that is more definitive - - in the right way - - than footnote 12 of the draft i sent out yesterday . - - - - - original message - - - - - from : steffes , james d . [ ] sent : friday , february 01 , 2002 7 : 27 pm to : fels , nicholas subject : ubs notes at ferc mtg nick - - here is a draft of some talking points on the ferc meeting . may need to shorten . i am very concerned about the data ubs will acquire and the access to contracts , and implications for 203 . jim > * * * * this e - mail is the property of enron corp . and / or its relevant affiliate and may contain confidential and privileged material for the sole use of the intended recipient ( s ) . any review , use , distribution or disclosure by others is strictly prohibited . if you are not the intended recipient ( or authorized to receive for the recipient ) , please contact the sender or reply to enron corp . at enron . messaging . administration @ enron . com and delete all copies of the message . this e - mail ( and any attachments hereto ) are not intended to be an offer ( or an acceptance ) and do not create or evidence a binding and en",0.99,0.01,0.99,0.01,0.97,0.01,0.005,0.005,0.005,0.005,0.99,0.01,0.7,0.28,0.015,0.005
"show your longhorn pride ! dear fellow longhorn : as enron prepares to meet the challenges and opportunities of the 21 st century , it is critical that the best and brightest graduates from the university of texas continue to consider enron as one of their most compelling career opportunities . while enron  , s commitment to ut is solid , we as alumni must work together to forge stronger ties to our alma mater . please take a role in recruiting new employees from the university of texas , mentoring associates and analysts and providing financial support . enron is pleased to match your contribution dollar for dollar  ) up to $ 15 , 000 per employee annually through our matching gift program ! if you are already contributing via our payroll deduction program  ) thank you ! if you would like to join the many enron alumni who support ut , now is the perfect time to start ! if you would like to increase your contribution or enroll in the payroll deduction program , please complete a new pledge card available on - line . community relations has greatly simplified the giving and matching gift process . your pledge card gift will automatically be matched without submitting a separate matching gifts form whether you choose to sign up for the payroll deduction program or attach a check . participating in enron  , s monthly payroll deduction plan is the quickest and easiest way to contribute ! if you prefer to contribute on your own via check , please make sure that you take advantage of enron  , s matching gift program by completing a matching gift form . pledge cards and matching gift forms are available on - line in the  & gifts , grants and giving  8 section of the community relations intranet site http : / / home . enron . com / cr / giving / university . please forward all completed pledge cards and matching gift forms to vanessa bob at eb 2019 . again , thank you for your support . working together gives us an opportunity to enrich the educational experiences of current longhorns and ensure that enron has a competitive talent pool from which to recruit its future leaders . sincerely , rick causey evp and cao",0.96,0.04,0.97,0.03,0.55,0.42,0.01,0.01,0.005,0.005,0.97,0.03,0.65,0.33,0.02,0.0
"re : meter 984132 for 1 / 16 / 99 karen / sherlyn , gary has placed this in daren ' s lap . please read the below information that was requested of me from daren . this is the latest . i ' ll get back as soon as i hear from daren again about my response to him . - jackie - 3 - 9497 - - - - - - - - - - - - - - - - - - - - - - forwarded by jackie young / hou / ect on 08 / 24 / 2000 08 : 32 am - - - - - - - - - - - - - - - - - - - - - - - - - - - jackie young 08 / 23 / 2000 04 : 27 pm to : daren j farmer / hou / ect @ ect cc : subject : re : meter 984132 for 1 / 16 / 99 on day 5 in mops ( hpl / ena ) there is a delivery nom of 10 . 0 pathed to the ena 201 k . on day 16 in mops ( hpl / ena ) there is not a deal ( which is strange because day 16 in pops references adonis ) . the deal on the 5 th was a swing deal . daren j farmer 08 / 23 / 2000 12 : 59 pm to : jackie young / hou / ect @ ect cc : subject : meter 984132 for 1 / 16 / 99 jackie , what does mops show for the days in question ? it would be incorrect to add any days to the adonis ticket mentioned below . it sounds as if the meter was allocated incorrectly in pops and / or a deal was not pathed correctly in mops . let me know what you find in mops . d - - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 08 / 23 / 2000 12 : 54 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : gary w lamphier 08 / 22 / 2000 02 : 51 pm to : daren j farmer / hou / ect @ ect cc : subject : meter 984132 for 1 / 16 / 99 - - - - - - - - - - - - - - - - - - - - - - forwarded by gary w lamphier / hou / ect on 08 / 22 / 2000 02 : 51 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : sherlyn schumack 08 / 22 / 2000 02 : 07 pm to : jackie young / hou / ect @ ect , karen lindley / corp / enron @ enron cc : gary w lamphier / hou / ect @ ect subject : meter 984132 for 1 / 16 / 99 here is the issue for 1 / 16 / 99 at meter 984132 . 20 , 000 mmbtu were confirmed for adonis in pops . 10 , 000 mmbtu on day 5 and day 16 . day 16 is not valid for deal 51862 ( track id 6155 ) , which is where 10 , 000 was confirmed . the actual sale to adonis was 10 , 000 which was invoiced and paid by adonis . we are trying to clear the feedback error report . my question is why was 10 , 000 confirmed on 1 / 16 / 99 if the date is not valid for the deal ? when karen allocates the actual 10 , 000 it is prorating 5 , 000 for each day that is confirmed ( the 5 th and 16 th ) . should the whole 10 , 000 be allocated to the 5 th or should 5 , 000 be allocated to each day ? if 5 , 000 should be allocated to each day , the 16 th needs to be added to the deal .",0.99,0.01,0.99,0.01,0.97,0.01,0.005,0.005,0.005,0.005,0.99,0.01,0.85,0.13,0.015,0.005
