text,unsolicited__no,unsolicited__yes,kind__personal,kind__transactional,kind__promotional,kind__scam,asks_action__no,asks_action__yes,risk__0,risk__1,risk__2,risk__3,risk__4
Ha ha ha good joke. Girls are situation seekers.,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Hi its in durban are you still on this number,0.94,0.06,0.9,0.02,0.01,0.07,0.28,0.72,0.8,0.1,0.06,0.03,0.01
Send me the new number,0.97,0.03,0.95,0.01,0.01,0.03,0.15000000000000002,0.85,0.9,0.06,0.03,0.007,0.003
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",0.030000000000000027,0.97,0.01,0.02,0.35,0.62,0.030000000000000027,0.97,0.01,0.15,0.35,0.4,0.09
Ya:)going for restaurant..,0.97,0.03,0.95,0.02,0.02,0.01,0.95,0.05,0.94,0.04,0.01,0.005,0.005
"I'll get there at 3, unless you guys want me to come some time sooner",0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
"U so lousy, run already come back then half dead... Hee...",0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.93,0.05,0.01,0.005,0.005
"Alright, see you in a bit",0.98,0.02,0.96,0.02,0.01,0.01,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,0.040000000000000036,0.96,0.01,0.02,0.87,0.1,0.050000000000000044,0.95,0.02,0.55,0.35,0.06,0.02
At home also.,0.97,0.03,0.95,0.02,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"Aight, call me once you're close",0.98,0.02,0.97,0.01,0.01,0.01,0.25,0.75,0.93,0.05,0.01,0.005,0.005
Does she usually take fifteen fucking minutes to respond to a yes or no question,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.94,0.04,0.01,0.005,0.005
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",0.92,0.08,0.9,0.01,0.05,0.04,0.97,0.03,0.93,0.05,0.01,0.007,0.003
Be happy there. I will come after noon,0.97,0.03,0.96,0.01,0.01,0.02,0.92,0.08,0.94,0.04,0.01,0.005,0.005
Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,0.97,0.03,0.95,0.02,0.01,0.02,0.92,0.08,0.93,0.05,0.01,0.005,0.005
"Yo my trip got postponed, you still stocked up?",0.96,0.04,0.95,0.01,0.01,0.03,0.75,0.25,0.9,0.06,0.03,0.01,0.0
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.04,0.01,0.0,0.0
Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,0.97,0.03,0.96,0.01,0.01,0.02,0.7,0.3,0.94,0.04,0.01,0.005,0.005
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0.97,0.03,0.96,0.01,0.01,0.02,0.65,0.35,0.93,0.04,0.02,0.007,0.003
10 min later k...,0.97,0.03,0.96,0.02,0.01,0.01,0.92,0.08,0.95,0.03,0.01,0.005,0.005
